domain,platform,keyword
https://portal.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://api-*exoscale.com/v2,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://sos-*.exo.io,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://sks-*.exo.io,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
*.internal.exoscale.ch,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://www.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
https://community.exoscale.com/,intigriti,4d41a636-c811-4757-8fd9-007d7f18e212
www.arrowfilms.com,bugcrowd,hutgroup-public
www.cultbeauty.co.uk,bugcrowd,hutgroup-public
www.enjoyselfish.com,bugcrowd,hutgroup-public
www.illamasqua.com,bugcrowd,hutgroup-public
www.lookfantastic.com,bugcrowd,hutgroup-public
www.mankind.co.uk,bugcrowd,hutgroup-public
www.matalan.co.uk,bugcrowd,hutgroup-public
www.myprotein.com,bugcrowd,hutgroup-public
www.myvitamins.com,bugcrowd,hutgroup-public
*.transferwise.com,bugcrowd,wise
*.wise.com,bugcrowd,wise
github.com,bugcrowd,wise
transferwise.com,bugcrowd,wise
wise-sandbox.com,bugcrowd,wise
wise.com,bugcrowd,wise
*.points.com,bugcrowd,plusgrade-mbb-public
*.tools.thefork.tech,bugcrowd,thefork-mbb-og
api-ws.thefork.com,bugcrowd,thefork-mbb-og
api.thefork.com,bugcrowd,thefork-mbb-og
api.thefork.io,bugcrowd,thefork-mbb-og
blog.thefork.com,bugcrowd,thefork-mbb-og
m.thefork.com,bugcrowd,thefork-mbb-og
manager.thefork.com,bugcrowd,thefork-mbb-og
payment.lafourchette.com,bugcrowd,thefork-mbb-og
secure.thefork.com,bugcrowd,thefork-mbb-og
widget.thefork.com,bugcrowd,thefork-mbb-og
www.restaurant-information.com,bugcrowd,thefork-mbb-og
www.theforkmanager.com,bugcrowd,thefork-mbb-og
appsecfa.tfaforms.net,hackerone,formassembly
app.formassembly.com,hackerone,formassembly
formassembly.com,hackerone,formassembly
typeahead.formassembly.com,hackerone,formassembly
www.formassembly.com,hackerone,formassembly
github.com,hackerone,github
api.github.com,hackerone,github
gist.github.com,hackerone,github
classroom.github.com,hackerone,github
*.githubapp.com,hackerone,github
*.github.net,hackerone,github
education.github.com,hackerone,github
*.githubusercontent.com,hackerone,github
npmjs.com,hackerone,github
npmjs.org,hackerone,github
beta-cloud.acronis.com,hackerone,acronis
*-api-*.acronis.com,hackerone,acronis
*.acronis.com,hackerone,acronis
account.acronis.com,hackerone,acronis
*.5nine.com,hackerone,acronis
*.devicelock.com,hackerone,acronis
*.acronis.work,hackerone,acronis
lifetouch.com,hackerone,shutterfly_vdp
jcpportraits.com,hackerone,shutterfly_vdp
prestigeportraits.com,hackerone,shutterfly_vdp
preschoolsmiles.com,hackerone,shutterfly_vdp
shutterfly.com,hackerone,shutterfly_vdp
tinyprints.com,hackerone,shutterfly_vdp
snapfish.com,hackerone,shutterfly_vdp
snapfish.de,hackerone,shutterfly_vdp
snapfish.fr,hackerone,shutterfly_vdp
snapfish.ie,hackerone,shutterfly_vdp
snapfish.it,hackerone,shutterfly_vdp
snapfish.co.uk,hackerone,shutterfly_vdp
snapfish.com.au,hackerone,shutterfly_vdp
snapfish.co.nz,hackerone,shutterfly_vdp
photo.walgreens.com,hackerone,shutterfly_vdp
www.spoonflower.com,hackerone,shutterfly_vdp
admin.spoonflower.com,hackerone,shutterfly_vdp
staging.spoonflower.com,hackerone,shutterfly_vdp
blog.spoonflower.com,hackerone,shutterfly_vdp
*.shutterfly.com,hackerone,shutterfly_vdp
*.snapfish.com,hackerone,shutterfly_vdp
*.sf-cdn.com,hackerone,shutterfly_vdp
wgwebservices.snapfish.com,hackerone,shutterfly_vdp
https://www.cvs.com/photo/,hackerone,shutterfly_vdp
*.lifetouch.com,hackerone,shutterfly_vdp
*.photoccino.com,hackerone,shutterfly_vdp
*.sbs.shutterfly.com,hackerone,shutterfly_vdp
shutterfly-prod.auth.us-east-1.amazoncognito.com,hackerone,shutterfly_vdp
api-gateway.spoonflower.com,hackerone,shutterfly_vdp
cart.spoonflower.com,hackerone,shutterfly_vdp
*.mendix.com,hackerone,mendix
gateway.us-east-1.sws.siemens.com,hackerone,mendix
servicemanagement-accp.mendixcloud.com,hackerone,mendix
3dvis.mendixcloud.com,hackerone,mendix
slm.store.mendix.com,hackerone,mendix
contributor.mendixcloud.com,hackerone,mendix
dealservice.mendixcloud.com,hackerone,mendix
dataprivacy.mendixcloud.com,hackerone,mendix
datalake-sync.apps.mendix.com,hackerone,mendix
alm.mendixcloud.com,hackerone,mendix
deskallocation.mendixcloud.com,hackerone,mendix
simplate.mendixcloud.com,hackerone,mendix
mxpeople.mendixcloud.com,hackerone,mendix
employees.mendix.com,hackerone,mendix
3s.mendixcloud.com,hackerone,mendix
revenuedatahub.mendixcloud.com,hackerone,mendix
mxbpconfig.mendixcloud.com,hackerone,mendix
provisioning.servicemanagement.mendix.com,hackerone,mendix
k8s-licbrk-licenseb-11d216e80e-384217420.eu-central-1.elb.amazonaws.com,hackerone,mendix
*.timeseries.com,hackerone,mendix
*.timeseries.nl,hackerone,mendix
marketplaceadmin.mendixcloud.com,hackerone,mendix
notification.billing.appservices.mendix.com,hackerone,mendix
cs.money,hackerone,cs_money
support.cs.money,hackerone,cs_money
wiki.cs.money,hackerone,cs_money
3d.cs.money,hackerone,cs_money
blog.cs.money,hackerone,cs_money
*.wellsfargo.com,hackerone,wellsfargo-bbp
connect.secure.wellsfargo.com,hackerone,wellsfargo-bbp
*.wf.com,hackerone,wellsfargo-bbp
http://wellsfargo.com,hackerone,wellsfargo-bbp
http://wf.com,hackerone,wellsfargo-bbp
homeloans.wellsfargo.com,hackerone,wellsfargo-bbp
accountoffers.wellsfargo.com,hackerone,wellsfargo-bbp
*.allegion.com,hackerone,allegion
www.specadsystems.com,hackerone,allegion
www.isonas.com,hackerone,allegion
www.krytonitelock.com,hackerone,allegion
www.republicdoor.com,hackerone,allegion
www.schlage.com,hackerone,allegion
www.fireglass.com,hackerone,allegion
*.yonomi.co,hackerone,allegion
www.trelock.com,hackerone,allegion
www.simons-voss.com,hackerone,allegion
www.normbau.de,hackerone,allegion
www.interflex.de,hackerone,allegion
www.gainsboroughhardware.com.au,hackerone,allegion
www.fshlocking.com.au,hackerone,allegion
www.allegion.co.uk,hackerone,allegion
www.cisa.com,hackerone,allegion
brio.com.au,hackerone,allegion
brionz.com,hackerone,allegion
briouk.com,hackerone,allegion
briousa.com,hackerone,allegion
www.bricard.com,hackerone,allegion
www.axasecurity.com,hackerone,allegion
www.ausloc.com,hackerone,allegion
*.allegionengage.com,hackerone,allegion
*.isonaspureaccesscloud.com,hackerone,allegion
*.my-mobilekey.com,hackerone,allegion
www.yonomi.com,hackerone,allegion
www.interflex.com,hackerone,allegion
www.planopunkt.com,hackerone,allegion
zentra.co,hackerone,allegion
zeroplus.co.uk,hackerone,allegion
www.bossdoorcontrols.com,hackerone,allegion
www.boss-idc.com,hackerone,allegion
unicelarchitectural.com,hackerone,allegion
stanleyaccess.com,hackerone,allegion
allegion.ca,hackerone,allegion
www.allegion.ca,hackerone,allegion
*.eero.com,hackerone,eero
*.e2ro.com,hackerone,eero
prd-ring-web-us.prd.rings.solutions,hackerone,ring
https://*.immedia-semi.com/*,hackerone,ring
https://*.blinkforhome.com/*,hackerone,ring
publicsafety.ring.com,hackerone,ring
tax.audible.com,hackerone,audible
www.gogoair.com,hackerone,gogo_vdp
www.aeroxr.com,hackerone,gogo_vdp
http://satcomtest.com,hackerone,gogo_vdp
http://satcomsimple.com,hackerone,gogo_vdp
http://satcomdirect.com.br,hackerone,gogo_vdp
http://gosatcom.net,hackerone,gogo_vdp
http://gogo.aero,hackerone,gogo_vdp
http://www.sdgov.gogoair.com,hackerone,gogo_vdp
www.*.gogoair.*.com,hackerone,gogo_vdp
gogogenius.stage.gogoair.cloud,hackerone,gogo_vdp
http://*.oyorooms.com,hackerone,prism_vdp
http://*.oyoworkspaces.com,hackerone,prism_vdp
http://*.weddingz.in,hackerone,prism_vdp
http://*.oyotownhouse.com,hackerone,prism_vdp
http://*.oyoos.com,hackerone,prism_vdp
http://*.oyocircle.com,hackerone,prism_vdp
http://*.oyorooms.io,hackerone,prism_vdp
patron.oyorooms.com,hackerone,prism_vdp
http://*.traum-ferienwohnungen.de,hackerone,prism_vdp
http://*.leisure-partners.net,hackerone,prism_vdp
http://*.innov8.work,hackerone,prism_vdp
http://*.workflobyoyo.com,hackerone,prism_vdp
prismlife.com,hackerone,prism_vdp
*.checkin.life,hackerone,prism_vdp
https://*.madecomfy.com.au,hackerone,prism_vdp
https://*.motel6.com,hackerone,prism_vdp
https://*.belvilla.com,hackerone,prism_vdp
https://*.dancenter.dk,hackerone,prism_vdp
https://*.g6hospitality.com,hackerone,prism_vdp
